title,duration_seconds,duration,upload_date,view_count,maybe_compilation,videoId,url,keep
"Camping adventure with kids RV trailer and ride on truck, sleeping in camper. Educational | Kid Crew",579,9:39,,56000000,,#NAME?,https://www.youtube.com/watch?v=-kON5AnEKBU,y
"Winter camping adventure with kids RV trailer and ride on truck, ice fishing. Educational | Kid Crew",583,9:43,,7600000,,9LOEHbJ2gOo,https://www.youtube.com/watch?v=9LOEHbJ2gOo,y
High speed Police chase with kids ride on helicopter and police car. Educational | Kid Crew,584,9:44,,18000000,,eMhYM5nH8_c,https://www.youtube.com/watch?v=eMhYM5nH8_c,y
Kid's speed boat adventure with ride on truck and Lego Titanic story. Educational | Kid Crew,592,9:52,,14000000,,C6dutBMi9eI,https://www.youtube.com/watch?v=C6dutBMi9eI,y
"Rescuing school bus stuck in snow with kids snowmobile, playing R/Cs on ice. Educational | Kid Crew",596,9:56,,4100000,,SMw0a4RX8MY,https://www.youtube.com/watch?v=SMw0a4RX8MY,y
"Pouring concrete with kids ride on cement mixer, construction trucks & toys. Educational | Kid Crew",599,9:59,,30000000,yes,2w-yIE8j7HE,https://www.youtube.com/watch?v=2w-yIE8j7HE,y
Hauling trees with kids ride on logging semi truck and cutting with chainsaw. Educational | Kid Crew,605,10:05,,12000000,yes,0CWpaiWMeKc,https://www.youtube.com/watch?v=0CWpaiWMeKc,y
"Camping adventure in Power Wheels RV, roof tent on Barbie car Dream Camper, campfire | Kid Crew",608,10:08,,11000000,yes,79k-2jqnQJs,https://www.youtube.com/watch?v=79k-2jqnQJs,y
Excavating stuck backhoe with kids ride on semi truck and doing backhoe work. Educational | Kid Crew,620,10:20,,6600000,yes,ty7DiU1BtaU,https://www.youtube.com/watch?v=ty7DiU1BtaU,y
Christmas toy delivery on backyard railroad with kids ride on train. Educational | Kid Crew,623,10:23,,24000000,yes,QX0RjIpG1OA,https://www.youtube.com/watch?v=QX0RjIpG1OA,y
Plowing road and rescuing stuck truck with kids semi tractor snow plow truck. Educational | Kid Crew,639,10:39,,11000000,yes,6o3zSTISGTs,https://www.youtube.com/watch?v=6o3zSTISGTs,y
"Paving rocky slope with kids ride on dump truck, bulldozer, and side by side. Educational | Kid Crew",642,10:42,,9900000,yes,dR2KgYH9jTY,https://www.youtube.com/watch?v=dR2KgYH9jTY,y
Remote controlled truck mowing lawn and landscaping. Build and use with dad. Educational | Kid Crew,648,10:48,,3300000,yes,AkHZ7-DmOQM,https://www.youtube.com/watch?v=AkHZ7-DmOQM,y
